profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,grid_index,is_current_default_profile,rank_after_cost,is_best_profile
wr_pred_rp20,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.65,60,0.16868661038576516,0.1240831148873236,0.002638730335004802,0.001988730335004695,0.008671537798434463,0.008671537798434534,-0.05043925874857458,-0.06517385575312729,2.194323024619631,1.6537941395411053,0.5333333333333333,0.5166666666666667,5.0,5.0,0.008168373905648714,0.6500000000001069,1.593953181631535,0.419696359987182,0.03900000000000642,16,False,1,True
wr_pred_rp22,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.22,0.001,0.65,60,0.1680810292798267,0.12350033761309365,0.0026284536727562277,0.0019784536727561262,0.008479336516081445,0.00847933651608151,-0.05051136688636759,-0.06524489189527127,2.2353221798263623,1.68254111621195,0.55,0.5333333333333333,5.0,5.0,0.00816836584100834,0.6500000000001008,1.5891599140902453,0.42122630232585595,0.039000000000006044,17,False,2,False
wr_equal_rp20,replay_walk_forward_predictions,equal,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.65,60,0.1648252285981302,0.12036673084061933,0.0025826893760888597,0.0019326893760887524,0.00858427855213654,0.008584278552136585,-0.050464795603217816,-0.06519901323991006,2.169551912261005,1.6235285476140797,0.5333333333333333,0.5166666666666667,5.0,5.0,0.008263920102662395,0.6500000000001077,1.596973271773306,0.4186380088036129,0.03900000000000647,6,False,3,False
wr_equal_rp22,replay_walk_forward_predictions,equal,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.22,0.001,0.65,60,0.16426107500380116,0.11982382671315506,0.002572979653975877,0.0019229796539757755,0.008390200509560505,0.008390200509560575,-0.05053315254795099,-0.06526635399510039,2.2113917450636857,1.652738033181232,0.55,0.5333333333333333,5.0,5.0,0.008263911492697921,0.6500000000001013,1.592064589153955,0.42017286794425196,0.03900000000000608,7,False,4,False
wr_risk_adjusted_rp20,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.65,60,0.1598323556458816,0.11556141699918254,0.0025085295319446166,0.0018585295319445058,0.008298415579202833,0.008298415579202847,-0.04855182902834665,-0.06314537920400254,2.1798454818554283,1.6150127600704494,0.55,0.5166666666666667,5.0,5.0,0.00802821821118943,0.6500000000001117,1.5891021631256903,0.4210782357036274,0.0390000000000067,26,True,5,False
wr_risk_adjusted_rp22,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.22,0.001,0.65,60,0.15837630787958057,0.11416011553667116,0.0024857363047510786,0.001835736304750979,0.008073731452433012,0.008073731452433026,-0.04872777151131402,-0.06326512407211615,2.220150560336403,1.6395990909546165,0.5666666666666667,0.5333333333333333,5.0,5.0,0.008028210765653845,0.6500000000000993,1.5844852193380856,0.42254516474940984,0.03900000000000596,27,False,6,False
wr_pred_rp12,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.12,0.001,0.65,60,0.15635976105852079,0.11221920760951876,0.002458490021131709,0.0018084900211316134,0.008312087371022748,0.008312087371022701,-0.044526413301553824,-0.059348937758521014,2.132848569977493,1.5689448898448488,0.5166666666666667,0.5,5.0,5.0,0.008178548098626061,0.6500000000000951,1.6263540682268165,0.4118646852419125,0.039000000000005704,12,False,7,False
wr_pred_rp16,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.16,0.001,0.65,60,0.15478956191365167,0.11070796045354947,0.002435904349240023,0.0017859043492399183,0.00832225469798059,0.008322254697980565,-0.0436754085937463,-0.05851058993125646,2.1106727328212633,1.547457975738514,0.5333333333333333,0.5333333333333333,5.0,5.0,0.00817854800903361,0.6500000000001045,1.6110340112074397,0.41551445704116446,0.039000000000006266,14,False,8,False
wr_equal_rp12,replay_walk_forward_predictions,equal,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.12,0.001,0.65,60,0.1527970215538681,0.10879027679775377,0.0024061851116239344,0.0017561851116238536,0.00821956936659427,0.008219569366594206,-0.044400509440289726,-0.0592249067189724,2.110967962257816,1.5407170830386059,0.5166666666666667,0.5,5.0,5.0,0.008275508331558067,0.6500000000000806,1.6299865777178653,0.41067374130056694,0.03900000000000484,2,False,9,False
wr_equal_rp16,replay_walk_forward_predictions,equal,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.16,0.001,0.65,60,0.15104570388457095,0.10710471617882567,0.002380878324682633,0.0017308783246825278,0.008226900988162924,0.00822690098816289,-0.04351816793336771,-0.05835568806759672,2.0869046297349287,1.5171619447496614,0.5333333333333333,0.5333333333333333,5.0,5.0,0.008275508260872833,0.6500000000001052,1.614516005580137,0.4143464011048113,0.03900000000000631,4,False,10,False
wr_pred_rp25,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.25,0.001,0.65,60,0.15057029758982754,0.10664713005192517,0.0023747307587746735,0.0017247307587745602,0.008320210454159592,0.008320210454159623,-0.04923051517853971,-0.06093503026076086,2.0581723415188407,1.4948192047288051,0.5333333333333333,0.5166666666666667,5.0,5.0,0.008171300293899763,0.6500000000001134,1.5893763971885382,0.4214910440996647,0.0390000000000068,18,False,11,False
wr_risk_adjusted_rp12,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.12,0.001,0.65,60,0.14929235044527145,0.10541731081807071,0.0023529153645357884,0.0017029153645356883,0.00791792993270487,0.007917929932704832,-0.04344816580664623,-0.058106229186777214,2.1428724592824815,1.5508974483969489,0.5333333333333333,0.5,5.0,5.0,0.008040627540579388,0.6500000000000996,1.6222545180698917,0.4128876801419044,0.039000000000005974,22,False,12,False
wr_equal_rp25,replay_walk_forward_predictions,equal,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.25,0.001,0.65,60,0.14688591049357203,0.10310113147091249,0.0023203810401769397,0.0016703810401768164,0.008225618155897502,0.008225618155897533,-0.04928099478489911,-0.06098492079337736,2.0341943086609464,1.4643627690406031,0.5333333333333333,0.5166666666666667,5.0,5.0,0.00826713781142734,0.6500000000001226,1.5923342788163524,0.4203859532313959,0.039000000000007355,8,False,13,False
wr_risk_adjusted_rp16,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.16,0.001,0.65,60,0.14629690581339116,0.10253433655874211,0.0023096556972100153,0.0016596556972098974,0.007956859611325431,0.00795685961132546,-0.04265180702489013,-0.057321618961102216,2.093183102817383,1.5041043849482743,0.55,0.5333333333333333,5.0,5.0,0.008040629288467164,0.6500000000001178,1.6065791138512557,0.41675152419287137,0.039000000000007064,24,False,14,False
wr_pred_rp18,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.18,0.001,0.65,60,0.14595791482176423,0.1022078992602653,0.0023088604651756504,0.0016588604651755479,0.00846607389058377,0.00846607389058382,-0.051875441745100614,-0.06658867579867223,1.9666057496477685,1.4129587204956526,0.5333333333333333,0.5166666666666667,5.0,5.0,0.008167503790364244,0.6500000000001028,1.6029486669381738,0.41752368556424535,0.039000000000006176,15,False,15,False
wr_risk_adjusted_rp25,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.25,0.001,0.65,60,0.1450893736969554,0.10137213637367526,0.0022924146650899753,0.0016424146650898456,0.008004306767962604,0.008004306767962623,-0.047915808543263716,-0.05963565697844253,2.065242839689757,1.479656005753703,0.55,0.5166666666666667,5.0,5.0,0.008031140848919337,0.6500000000001299,1.5836928225828033,0.4231460621396109,0.0390000000000078,28,False,16,False
wr_pred_rp14,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.14,0.001,0.65,60,0.14369496705456264,0.10002994763362505,0.002275573353239651,0.001625573353239524,0.008439111643304095,0.008439111643304067,-0.044526413301553824,-0.059348937758521014,1.9444455181950344,1.3890296336542636,0.5166666666666667,0.5166666666666667,5.0,5.0,0.008178548034317728,0.6500000000001269,1.609625833985678,0.41619789834141296,0.039000000000007605,13,False,17,False
wr_equal_rp18,replay_walk_forward_predictions,equal,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.18,0.001,0.65,60,0.14206467910224285,0.09846090530766438,0.0022512273993818862,0.0016012273993817913,0.008371091754320312,0.008371091754320348,-0.051818902571357794,-0.06653297810778858,1.9392729310395402,1.3793439760516975,0.5333333333333333,0.5166666666666667,5.0,5.0,0.00826317029108617,0.6500000000000956,1.6061846031069085,0.41641463564788245,0.03900000000000573,5,False,18,False
wr_pred_rp10,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.1,0.001,0.65,60,0.1408612067440722,0.09730265160875295,0.0022331748483004174,0.001583174848300309,0.008324803508402845,0.008324803508402806,-0.047689299125818096,-0.06246478392044519,1.9344183714357612,1.3713760541759292,0.5166666666666667,0.48333333333333334,5.0,5.0,0.008180724496627002,0.6500000000001074,1.6279628133190216,0.41153117106430237,0.039000000000006446,11,False,19,False
wr_equal_rp14,replay_walk_forward_predictions,equal,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.14,0.001,0.65,60,0.13982047339465797,0.09630099497675104,0.0022181401310915278,0.0015681401310914148,0.00834824346624275,0.008348243466242699,-0.044400509440289726,-0.0592249067189724,1.9160001768406412,1.3545387536014502,0.5166666666666667,0.5166666666666667,5.0,5.0,0.008275508261082145,0.6500000000001133,1.6129484840377517,0.41504877526832024,0.0390000000000068,3,False,20,False
