profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_after_secondary_screen,filter_secondary_quality_filter_count,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.004803573852597562,0.0008,0.004003573852597562,0.8,1.0,0.8,1.0048035738525976,1.0040035738525976,"600803,600941,601939,601728,600050","0.161383,0.161367,0.159931,0.159133,0.158186","0.201729,0.201709,0.199914,0.198916,0.197732","0.557130,0.557074,0.552117,0.549360,0.546091","0.039656,-0.011328,-0.017490,0.019034,0.000000",300,40,26,26,26,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.061411747899403735,-0.0007268135008135395,0.0008,-0.0015268135008135396,0.8,1.1544990110984423,0.6929412605029813,1.0040732690494558,1.0024706476411744,"600803,600941,601012,001979,600233","0.190045,0.188075,0.138692,0.137958,0.137275","0.202745,0.199910,0.200149,0.199091,0.198105","0.565025,0.557123,0.557791,0.554841,0.552092","0.034128,-0.012588,-0.033532,-0.008439,0.007063",300,40,23,23,23,False,-0.0007268135008134946,-0.0015268135008135175
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.023147467817314027,-0.005040950079813796,0.0008,-0.005840950079813796,0.8,1.28394937038209,0.6230775281753738,0.9990117858237021,0.9966152666318238,"688012,600803,300347,002074,600233","0.128408,0.198441,0.126755,0.121139,0.171709","0.206087,0.203521,0.203434,0.194420,0.192539","0.579511,0.572295,0.572051,0.546704,0.541415","0.018676,-0.011014,-0.041569,-0.026443,0.018746",300,40,20,20,20,False,-0.0057640997500523206,-0.007358845539187864
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.004007278991224772,-0.012738992870398605,0.0008,-0.013538992870398605,0.8,0.9674917223705839,0.8268804595452357,0.9862853818066498,0.9831220996423651,"688012,300347,600515,601012,600803","0.190323,0.187866,0.165150,0.173670,0.197449","0.203286,0.200660,0.199727,0.199086,0.197241","0.581619,0.574108,0.571437,0.569602,0.564325","0.042137,-0.018178,-0.035928,-0.035389,-0.026661",300,40,19,19,19,False,-0.018429663794830686,-0.02079820705229707
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0004284062159948254,0.003843633770501884,0.0007999999999999999,0.003043633770501884,0.7999999999999999,0.8957633853787371,0.8930929897985868,0.9900763016075143,0.9861143632653634,"688012,601012,600515,002074,688223","0.203816,0.201988,0.194098,0.178222,0.173780","0.205431,0.205377,0.197564,0.197045,0.194583","0.585207,0.585053,0.562794,0.561318,0.554303","0.045554,-0.013115,-0.002016,0.007499,-0.021505",300,40,15,15,15,False,-0.01465686690246959,-0.01781787540714541
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,2.1190725367992158e-05,0.03423961133407635,0.0008,0.03343961133407635,0.8,0.8416304897153343,0.9505359059301488,1.0239761293656353,1.0190896443039072,"002459,688012,300274,601012,002074","0.194542,0.203112,0.188517,0.197887,0.195366","0.204666,0.203075,0.198327,0.197674,0.196259","0.595894,0.591263,0.577438,0.575537,0.571416","0.000000,0.062720,0.057114,0.023503,0.031135",300,40,18,18,18,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,1.2632174749893643e-05,0.010394206941270407,0.0008,0.009594206941270406,0.8,1.9807770089652905,0.4038819091594265,1.0346195491571828,1.0288670012430645,"002493,600515,000630,600183,601111","0.082476,0.087200,0.080554,0.079953,0.079422","0.204209,0.201734,0.199450,0.197960,0.196647","0.579519,0.572495,0.566014,0.561786,0.558058","-0.016649,0.081250,-0.012478,0.084238,-0.013189",300,40,18,18,18,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,5.903048109767717e-06,-0.0074991213911386,0.0008,-0.0082991213911386,0.8,1.5017906989172602,0.532697399562251,1.026860811564408,1.0203283091044115,"600515,601877,601111,002493,600089","0.148976,0.107437,0.143716,0.143993,0.104980","0.203168,0.201684,0.200117,0.197958,0.197072","0.566104,0.561969,0.557602,0.551586,0.549118","0.018634,-0.014804,-0.021713,-0.049898,0.015441",300,40,26,26,26,False,-0.007499121391138619,-0.008299121391138642
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,3.0187211650378742e-06,-0.004065921877662099,0.0008,-0.0048659218776621,0.8,1.6372757243877858,0.48861654031982793,1.0226856757253544,1.0153634712627424,"000630,000725,601111,600522,601298","0.118274,0.097885,0.170808,0.097296,0.097099","0.202661,0.200330,0.199163,0.199125,0.198721","0.559462,0.553028,0.549807,0.549701,0.548587","-0.061404,-0.021429,0.000000,0.041617,0.012821",300,40,28,28,28,False,-0.011534552427073241,-0.013124660392458187
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,1.3125536739710952e-06,0.01350946878438551,0.0008,0.01270946878438551,0.8,1.4154395419081471,0.5651954578869006,1.0365016159378042,1.0282682016055615,"600741,600522,601298,000725,600795","0.113333,0.155516,0.155335,0.155474,0.112622","0.200519,0.200305,0.200136,0.199778,0.199262","0.547889,0.547304,0.546841,0.545863,0.544453","0.018936,0.047876,0.019837,-0.007194,0.017361",300,40,32,32,32,False,0.0,-0.0005819990696362964
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-10,5,5,4.6397929454045084e-07,-0.0059004112819289415,0.0008,-0.006700411281928942,0.8,1.2374200360144367,0.6465064220041986,1.0303858301093871,1.0213783817466748,"600795,600741,601456,601298,002049","0.169973,0.169162,0.129383,0.183844,0.128927","0.201332,0.199688,0.200127,0.199432,0.199422","0.550190,0.545698,0.546896,0.544998,0.544970","0.003436,-0.009596,0.005650,0.003468,-0.048320",300,40,37,37,37,False,-0.0059004112819290855,-0.007278510718432996
