profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,grid_index,is_current_default_profile,rank_after_cost,is_best_profile
swt_risk_adjusted_pred_mt075,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.75,60,0.1775525428295308,0.12585382439667114,0.0027744167119574934,0.0020244167119571545,0.009702788113907998,0.009702788113907873,-0.0592235198280785,-0.07605485877820617,2.0619437623559342,1.5045445025034043,0.55,0.5333333333333333,5.0,5.0,0.004719736612115773,0.7500000000003381,1.566888222904757,0.49467672834545323,0.045000000000020295,34,False,1,True
swt_risk_adjusted_pred_mt070,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.7,60,0.1735070630098028,0.1253478939602093,0.002712133042022356,0.0020121330420221147,0.009193200685264628,0.009193200685264365,-0.054832636946857805,-0.07062121926460019,2.1273841578517114,1.5783075132243667,0.5333333333333333,0.5166666666666667,5.0,5.0,0.006262670548986356,0.7000000000002412,1.5802488769714331,0.4567681144059581,0.04200000000001447,33,False,2,False
swt_risk_adjusted_pred_mt065,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.65,60,0.16868661038576516,0.1240831148873236,0.002638730335004802,0.001988730335004695,0.008671537798434463,0.008671537798434534,-0.05043925874857458,-0.06517385575312729,2.194323024619631,1.6537941395411053,0.5333333333333333,0.5166666666666667,5.0,5.0,0.008168373905648714,0.6500000000001069,1.593953181631535,0.419696359987182,0.03900000000000642,32,True,3,False
swt_risk_adjusted_equal_mt075,replay_walk_forward_predictions,equal,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.75,60,0.1734818784347092,0.12195900744764554,0.002715753495111656,0.0019657534951113137,0.009619211193834937,0.009619211193834883,-0.059238622797790685,-0.07606970358984944,2.035881795468071,1.4736395487582126,0.55,0.5333333333333333,5.0,5.0,0.004779522097560133,0.7500000000003428,1.5700282916131294,0.4932428354965523,0.04500000000002058,27,False,4,False
swt_risk_adjusted_pred_mt060,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.6,60,0.16295972774041712,0.1219259284121994,0.0025521868115476283,0.0019521868115475694,0.008135918176111768,0.00813591817611178,-0.0460721223899242,-0.05974108668490519,2.262077915340015,1.7302803435231136,0.5333333333333333,0.5166666666666667,5.0,5.0,0.010531715748310197,0.6000000000000595,1.6079817599984745,0.3834211546538881,0.03600000000000354,31,False,5,False
swt_risk_adjusted_equal_mt070,replay_walk_forward_predictions,equal,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.7,60,0.16955266508979827,0.12155316999126375,0.0026549555743434466,0.001954955574343212,0.009107369480336183,0.009107369480335976,-0.05484554470542469,-0.07063392096704146,2.102160997869362,1.547909652675818,0.55,0.5166666666666667,5.0,5.0,0.006342210550366987,0.7000000000002344,1.5833451520839341,0.45552978099049357,0.04200000000001407,26,False,6,False
swt_risk_adjusted_equal_mt065,replay_walk_forward_predictions,equal,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.65,60,0.1648252285981302,0.12036673084061933,0.0025826893760888597,0.0019326893760887524,0.00858427855213654,0.008584278552136585,-0.050464795603217816,-0.06519901323991006,2.169551912261005,1.6235285476140797,0.5333333333333333,0.5166666666666667,5.0,5.0,0.008263920102662395,0.6500000000001077,1.596973271773306,0.4186380088036129,0.03900000000000647,25,False,7,False
swt_risk_adjusted_pred_mt055,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.55,60,0.15625804964066026,0.11880232242449162,0.0024513351765256624,0.001901335176525662,0.007585129127940956,0.007585129127940956,-0.04173995087077231,-0.05433159937489351,2.330458591602409,1.8075793714714499,0.5333333333333333,0.5166666666666667,5.0,5.0,0.013479037903026615,0.5499999999999999,1.6223121986760143,0.3479078584880187,0.03300000000000001,30,False,8,False
swt_risk_adjusted_equal_mt060,replay_walk_forward_predictions,equal,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.6,60,0.15925167482686553,0.11834659866678998,0.0024981366043938997,0.001898136604393843,0.008049124101101542,0.008049124101101555,-0.046104030805347085,-0.059772557164150975,2.238047148266245,1.7005151787982746,0.5333333333333333,0.5166666666666667,5.0,5.0,0.010638926095756866,0.6000000000000567,1.6108649579495105,0.38253368900409673,0.0360000000000034,24,False,9,False
swt_risk_adjusted_risk_adjusted_mt075,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.75,60,0.16871337889489402,0.11739661602405205,0.0026447192688620886,0.0018947192688617783,0.009299365603919382,0.009299365603919358,-0.05690501796134084,-0.07377611051445343,2.0508218171508203,1.4692416165703905,0.55,0.5166666666666667,5.0,5.0,0.004569335449568677,0.7500000000003102,1.5617303344216917,0.49622041834078695,0.0450000000000186,41,False,10,False
