profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.00880011191387868,0.0008,0.00800011191387868,0.8,1.0,0.8,1.0088001119138787,1.0080001119138786,"600941,600803,601728,600050,601186","0.162213,0.160591,0.160025,0.159554,0.157617","0.202766,0.200739,0.200031,0.199443,0.197021","0.548595,0.543108,0.541194,0.539602,0.533050","-0.011328,0.039656,0.019034,0.000000,0.007762",300,45,38,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,1.1102230246251565e-16,-0.00210491407028285,0.0005152337630934665,-0.0026201478333763165,0.5152337630934665,0.5152337630934665,1.0,1.0066766743642082,1.0053590026046044,"600941,600803,600050,002459,601728","0.202099,0.203424,0.198024,0.198576,0.197877","0.202099,0.203424,0.198024,0.198576,0.197877","0.548422,0.552016,0.537364,0.538861,0.536965","-0.012588,0.034128,-0.005525,-0.050791,0.023634",300,45,37,False,-0.002104914070283015,-0.002620147833376274
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.0,-0.023781308883841307,0.0008,-0.024581308883841305,0.8,0.807087588720711,0.9912183153108014,0.9827365854249948,0.98064596242243,"600803,300347,002459,600941,688012","0.204677,0.201481,0.199561,0.194524,0.196281","0.204688,0.203266,0.199569,0.194457,0.198020","0.559040,0.555157,0.545061,0.531097,0.540830","-0.011014,-0.041569,-0.079704,-0.004686,0.018676",300,45,36,False,-0.02583616534244504,-0.02713705005400413
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.0,-0.020312866633421203,0.0004086939021756886,-0.020721560535596893,0.4086939021756886,0.4086939021756886,1.0,0.962774388229473,0.9603254477481049,"002459,300347,600803,688012,601012","0.205086,0.200752,0.199059,0.198382,0.196721","0.205086,0.200752,0.199059,0.198382,0.196721","0.563550,0.551641,0.546989,0.545128,0.540563","-0.062189,-0.018178,-0.026661,0.042137,-0.035389",300,45,31,False,-0.04562422539494615,-0.04729628856414936
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0,-0.0010626403739770164,0.0004125753923083265,-0.001475215766285343,0.41257539230832646,0.41257539230832646,1.0,0.9617513052935094,0.9589087605068218,"002459,601012,688012,002074,600803","0.209097,0.201511,0.199172,0.196697,0.193524","0.209097,0.201511,0.199172,0.196697,0.193524","0.576667,0.555746,0.549296,0.542469,0.533718","-0.033107,-0.013115,0.045554,0.007499,-0.010570",300,45,25,False,-0.04663838362498707,-0.048701732099858175
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0,0.017862586031938618,0.00039822910492388577,0.017464356927014733,0.39822910492388575,0.39822910492388575,1.0,0.9789306707256439,0.9756554853607543,"002459,688012,002074,601012,002493","0.205701,0.200164,0.199766,0.199316,0.195054","0.205701,0.200164,0.199766,0.199316,0.195054","0.569706,0.554370,0.553268,0.552021,0.540218","0.000000,0.062720,0.031135,0.023503,-0.028689",300,45,26,False,-0.029608879732940463,-0.03208791960519919
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.0,-0.0007486751636307606,0.0007999999999999999,-0.0015486751636307606,0.7999999999999999,1.2130893684657575,0.6594732595932251,0.9781977696455552,0.974144511942316,"002493,601877,002459,000630,600104","0.201272,0.134476,0.200887,0.129665,0.129641","0.204483,0.203915,0.198402,0.196618,0.196582","0.563026,0.561462,0.546282,0.541372,0.541273","-0.016649,0.020312,0.011607,-0.012478,-0.006502",300,45,30,False,-0.030335387463692243,-0.033586901004684755
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0,-0.01606986130004347,0.0008,-0.01686986130004347,0.8,1.332828744202581,0.6002271510723102,0.9624782671633392,0.9577108291396507,"601877,601111,601298,000651,002493","0.175266,0.120454,0.120084,0.118673,0.199974","0.202434,0.200680,0.200064,0.197713,0.199109","0.545032,0.540310,0.538652,0.532322,0.536081","-0.014804,-0.021713,-0.003472,-0.003914,-0.049898",300,45,36,False,-0.04591776329471109,-0.049890155943280834
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,0.0,0.011660705888305466,0.0008,0.010860705888305466,0.8,1.65617847836374,0.48303972696854425,0.9737014431606167,0.9681122447809816,"600522,601298,600104,600741,601456","0.097250,0.158925,0.123154,0.096308,0.096274","0.201329,0.200493,0.199491,0.199378,0.199309","0.542517,0.540265,0.537564,0.537261,0.537075","0.041617,0.012821,0.025641,0.008101,0.017013",300,45,36,False,-0.0347924909392342,-0.039571292365397026
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.0,0.013704713048365385,0.0007999999999999999,0.012904713048365385,0.7999999999999999,1.2950356097036317,0.6177436311446908,0.9870457420339123,0.9806054554984891,"600741,000538,601298,600522,601816","0.160864,0.123727,0.184463,0.160799,0.122629","0.200812,0.200288,0.200266,0.200123,0.198512","0.538359,0.536956,0.536897,0.536512,0.532194","0.018936,0.003956,0.019837,0.047876,-0.009690",300,45,41,False,-0.02156459899542884,-0.027177235489959983
